group,metric,count,mean,median,min,max
phase2_supported_single_rgroup,target_num_severe_pairs,357,1.9075630252100841,1.0,1.0,12.0
phase2_supported_single_rgroup,max_clash_depth,357,0.7904715631522384,0.730945348739624,0.40209412574768066,1.4959192276000977
phase2_supported_single_rgroup,total_clash_score,357,1.2489459439331894,0.6863291559546383,0.1623868033516942,12.105319095110445
phase2_supported_single_rgroup,dominant_ratio_valid_rgroups,357,0.9966839261997062,1.0,0.7055888654998939,1.0
phase2_supported_single_rgroup,ligand_internal_severe_clash_count,357,0.0,0.0,0.0,0.0
model_induced_single_rgroup_clash,num_severe_clash_pairs,2,1.0,1.0,1.0,1.0
model_induced_single_rgroup_clash,max_clash_depth,2,0.40535974502563477,0.40535974502563477,0.40535974502563477,0.40535974502563477
model_induced_single_rgroup_clash,total_clash_score,2,0.16434384783843825,0.16434384783843825,0.16434384783843825,0.16434384783843825
model_induced_all_failures,num_severe_clash_pairs,240,1.4833333333333334,0.0,0.0,32.0
model_induced_all_failures,max_clash_depth,240,0.1932030737400055,0.0,0.0,2.1853482723236084
model_induced_all_failures,total_clash_score,240,1.6084802080217044,0.0,0.0,39.547918250192296
model_induced_all_failures,failure_taxonomy:ligand_only_invalid,160,160.0,160.0,160.0,160.0
model_induced_all_failures,failure_taxonomy:valid_no_severe_clash,146,146.0,146.0,146.0,146.0
model_induced_all_failures,failure_taxonomy:near_miss_contact,62,62.0,62.0,62.0,62.0
model_induced_all_failures,failure_taxonomy:global_pose_failure,16,16.0,16.0,16.0,16.0
model_induced_all_failures,failure_taxonomy:scaffold_clash,12,12.0,12.0,12.0,12.0
model_induced_all_failures,failure_taxonomy:rgroup_unattributable,2,2.0,2.0,2.0,2.0
model_induced_all_failures,failure_taxonomy:single_rgroup_clash,2,2.0,2.0,2.0,2.0
model_induced_all_failures,repairability_proxy:reject,222,222.0,222.0,222.0,222.0
model_induced_all_failures,repairability_proxy:invalid_unrepairable,160,160.0,160.0,160.0,160.0
model_induced_all_failures,repairability_proxy:global_repose_needed,16,16.0,16.0,16.0,16.0
model_induced_all_failures,repairability_proxy:unsupported,2,2.0,2.0,2.0,2.0
