model_key,backend_name,backend_unit,external_repo,repo_commit,expected_repo_commit,checkpoint_path,checkpoint_exists,checkpoint_md5,checkpoint_sha256,checkpoint_file_size,conda_env,env_status,env_check_output,status,blocked_reason,uses_h_clash_in_generation
rule_fixed_topology,rule_fixed_topology,fixed_topology_local_conformer_repair,,,,,False,,,0,,not_required,,ready,,False
diffsbdd_conditional_inpainting,diffsbdd_conditional_inpainting,crossdocked_fullatom_conditional_local_completion,/home/lyj/mnt/project/clash2feedback_gc/external/DiffSBDD,5d0d38d16c8932a0339fd2ce3f67ade98bbdff27,5d0d38d16c8932a0339fd2ce3f67ade98bbdff27,/home/lyj/mnt/project/clash2feedback_gc/external/DiffSBDD/checkpoints/crossdocked_fullatom_cond.ckpt,True,166b0c056b31ffdf31d489a63e91e05b,07f86764bf569aafbc40a9c15fc02de8e2550437dd0f17f657eab3abe66c372c,17861341,diffsbdd,ready,"/home/lyj/miniconda3/envs/diffsbdd/lib/python3.10/site-packages/lightning_lite/__init__.py:29: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  __import__(""pkg_resources"").declare_namespace(__name__)

ready cuda=True",ready,,False
diffsbdd_full_resampling,diffsbdd_full_resampling,crossdocked_fullatom_conditional_full_ligand_resampling,/home/lyj/mnt/project/clash2feedback_gc/external/DiffSBDD,5d0d38d16c8932a0339fd2ce3f67ade98bbdff27,5d0d38d16c8932a0339fd2ce3f67ade98bbdff27,/home/lyj/mnt/project/clash2feedback_gc/external/DiffSBDD/checkpoints/crossdocked_fullatom_cond.ckpt,True,166b0c056b31ffdf31d489a63e91e05b,07f86764bf569aafbc40a9c15fc02de8e2550437dd0f17f657eab3abe66c372c,17861341,diffsbdd,ready,"/home/lyj/miniconda3/envs/diffsbdd/lib/python3.10/site-packages/lightning_lite/__init__.py:29: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  __import__(""pkg_resources"").declare_namespace(__name__)

ready cuda=True",ready,,False
diffsbdd_joint_inpainting,diffsbdd_joint_inpainting,crossdocked_fullatom_joint_local_completion,/home/lyj/mnt/project/clash2feedback_gc/external/DiffSBDD,5d0d38d16c8932a0339fd2ce3f67ade98bbdff27,5d0d38d16c8932a0339fd2ce3f67ade98bbdff27,/home/lyj/mnt/project/clash2feedback_gc/external/DiffSBDD/checkpoints/crossdocked_fullatom_joint.ckpt,True,f9291871ccf820d273607e4fb816cafc,4e0f8727c7e4c9d8c8963927ac218a9b6f777104c396f0f8c7aa4a0b88e598bd,17875773,diffsbdd,ready,"/home/lyj/miniconda3/envs/diffsbdd/lib/python3.10/site-packages/lightning_lite/__init__.py:29: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  __import__(""pkg_resources"").declare_namespace(__name__)

ready cuda=True",blocked,official_inpaint_entrypoint_incompatible_with_joint_checkpoint:center_argument,False
diffdec_single_rgroup,diffdec_single_rgroup,single_substituent_local_completion,/home/lyj/mnt/project/clash2feedback_gc/external/DiffDec,916ae14207b2783a90336bb8509374535c5791f9,,/home/lyj/mnt/project/clash2feedback_gc/external/DiffDec/ckpt/diffdec_single.ckpt,True,9be531ec26376d8282c69d6c58630324,59776b4049ff6bcc068ae0a551a1271a48f164ff8b7bec6e6f8d6846c635129b,24149535,DiffDec,ready,ready,ready,,False
